objectid,parcelcount,combinedvaccount,combinedvacpercentage,date_update,Shape__Area,Shape__Length
18215,33,1,3.03030303,2025/11/30 00:00:00+00,5377.50390625,449.895617287485
18216,21,1,4.76190476,2025/11/30 00:00:00+00,5708.84375,405.1855933766
18217,26,2,7.69230769,2025/11/30 00:00:00+00,4060.87890625,370.261504047496
18218,19,0,0,2025/11/30 00:00:00+00,2845.109375,311.428219582731
18219,5,4,80,2025/11/30 00:00:00+00,2653.828125,212.707884895961
18220,20,1,5,2025/11/30 00:00:00+00,2213.93359375,262.117325300205
18221,6,0,0,2025/11/30 00:00:00+00,1455.53515625,153.620063270458
18222,13,0,0,2025/11/30 00:00:00+00,1801.41015625,187.819485591853
18223,4,0,0,2025/11/30 00:00:00+00,887.66015625,119.228672726796
18224,1,0,0,2025/11/30 00:00:00+00,20711.56640625,742.371660050408
18225,6,0,0,2025/11/30 00:00:00+00,1212.4921875,140.623072355156
18226,9,0,0,2025/11/30 00:00:00+00,836.41796875,132.663561101827
18227,23,1,4.34782609,2025/11/30 00:00:00+00,6999.421875,435.94989046884
18228,2,0,0,2025/11/30 00:00:00+00,655.46484375,109.056242687277
18229,11,0,0,2025/11/30 00:00:00+00,6853.1875,495.07070042803
18230,15,1,6.66666667,2025/11/30 00:00:00+00,2195.4765625,231.205097191879
18231,8,0,0,2025/11/30 00:00:00+00,1525.32421875,160.216605924325
18232,9,0,0,2025/11/30 00:00:00+00,1065.80078125,153.060636209568
18233,43,2,4.65116279,2025/11/30 00:00:00+00,7613.1484375,437.187293976443
18234,10,2,20,2025/11/30 00:00:00+00,891.18359375,137.212852887301
18235,10,1,10,2025/11/30 00:00:00+00,1525.16015625,170.400762948128
18236,8,0,0,2025/11/30 00:00:00+00,1595.1015625,169.540495327293
18237,6,0,0,2025/11/30 00:00:00+00,81723.3203125,1402.34572330471
18238,6,0,0,2025/11/30 00:00:00+00,1579.8203125,159.027556052101
18239,23,0,0,2025/11/30 00:00:00+00,4058.453125,352.459607808872
18240,33,4,12.12121212,2025/11/30 00:00:00+00,3929.81640625,436.752876715598
18241,14,0,0,2025/11/30 00:00:00+00,2110.45703125,205.927325760562
18242,7,0,0,2025/11/30 00:00:00+00,1137.3359375,142.467751399161
18243,3,1,33.33333333,2025/11/30 00:00:00+00,15952.04296875,539.284704815738
18244,8,5,62.5,2025/11/30 00:00:00+00,1090.953125,140.698033262838
18245,8,0,0,2025/11/30 00:00:00+00,1148.6484375,141.099225089753
18246,2,0,0,2025/11/30 00:00:00+00,20454.60546875,814.3554533182
18247,24,2,8.33333333,2025/11/30 00:00:00+00,3091.24609375,361.551191806408
18248,16,3,18.75,2025/11/30 00:00:00+00,1918.171875,256.091308317988
18249,21,0,0,2025/11/30 00:00:00+00,3354.21875,295.618430245754
18250,26,0,0,2025/11/30 00:00:00+00,2720.52734375,353.443518144094
18251,2,0,0,2025/11/30 00:00:00+00,43492.9921875,837.511508792689
18252,9,4,44.44444444,2025/11/30 00:00:00+00,1349.62890625,158.140887574918
18253,4,0,0,2025/11/30 00:00:00+00,755.01953125,110.280431791062
18254,36,0,0,2025/11/30 00:00:00+00,19213.09375,718.937865219731
18255,8,1,12.5,2025/11/30 00:00:00+00,1008.38671875,131.918987726328
18256,6,0,0,2025/11/30 00:00:00+00,856.4375,120.485088885575
18257,24,7,29.16666667,2025/11/30 00:00:00+00,1962.328125,300.617336021627
18258,17,1,5.88235294,2025/11/30 00:00:00+00,11626.69921875,480.424626481959
18259,11,0,0,2025/11/30 00:00:00+00,1156.140625,160.364040514113
18260,27,3,11.11111111,2025/11/30 00:00:00+00,12790.7109375,505.514458573146
18261,1,,,2025/11/30 00:00:00+00,,
18262,9,1,11.11111111,2025/11/30 00:00:00+00,1524.8203125,163.565215141524
18263,22,1,4.54545455,2025/11/30 00:00:00+00,8613.75,632.069127622481
18264,5,1,20,2025/11/30 00:00:00+00,1431.85546875,155.717892373744
18265,1,0,0,2025/11/30 00:00:00+00,2021.9921875,227.278108728962
18266,25,0,0,2025/11/30 00:00:00+00,7195.046875,502.528064867699
18267,20,4,20,2025/11/30 00:00:00+00,17447.890625,620.451418009793
18268,18,0,0,2025/11/30 00:00:00+00,1817.41796875,235.289496170324
18269,53,2,3.77358491,2025/11/30 00:00:00+00,8255.0703125,657.068937365692
18270,6,0,0,2025/11/30 00:00:00+00,1352.4609375,148.304341767264
18271,24,3,12.5,2025/11/30 00:00:00+00,5642.69921875,388.655520800034
18272,6,0,0,2025/11/30 00:00:00+00,2101.81640625,187.199222200881
18273,15,0,0,2025/11/30 00:00:00+00,20430.2734375,672.522099784588
18274,65,0,0,2025/11/30 00:00:00+00,12563.296875,525.593583897269
18275,8,0,0,2025/11/30 00:00:00+00,1861.4921875,175.275773610838
18276,22,6,27.27272727,2025/11/30 00:00:00+00,2767.984375,342.37784091894
18277,8,0,0,2025/11/30 00:00:00+00,1196.359375,146.586919313546
18278,24,0,0,2025/11/30 00:00:00+00,7157.23828125,340.18305946142
18279,12,0,0,2025/11/30 00:00:00+00,1628.37109375,183.52231875499
18280,5,0,0,2025/11/30 00:00:00+00,11541.41796875,557.102451026233
18281,15,0,0,2025/11/30 00:00:00+00,6457.77734375,385.358622946717
